Date,Year,Month,Month name,Mode,Users
2020-09-01,2020,9,September,Coach,23051
2020-09-01,2020,9,September,Train,2188980
2020-09-01,2020,9,September,Tram,1245928
2020-10-01,2020,10,October,Bus,4618038
2020-10-01,2020,10,October,Coach,36990
2020-10-01,2020,10,October,Train,3754613
2020-10-01,2020,10,October,Tram,2130346
2020-11-01,2020,11,November,Bus,6706669
2020-11-01,2020,11,November,Coach,51260
2020-11-01,2020,11,November,Train,7032517
2020-11-01,2020,11,November,Tram,4511166
2020-12-01,2020,12,December,Bus,6551638
2020-12-01,2020,12,December,Coach,74068
2020-12-01,2020,12,December,Train,8762396
2020-12-01,2020,12,December,Tram,5995164
2021-01-01,2021,1,January,Bus,5290151
2021-01-01,2021,1,January,Coach,60026
2021-01-01,2021,1,January,Train,7970291
2021-01-01,2021,1,January,Tram,5553277
2021-02-01,2021,2,February,Bus,6415206
2021-02-01,2021,2,February,Coach,54099
2021-02-01,2021,2,February,Train,8581919
2021-02-01,2021,2,February,Tram,5882295
2021-03-01,2021,3,March,Bus,8654296
2021-03-01,2021,3,March,Coach,75765
2021-03-01,2021,3,March,Train,13035145
2021-03-01,2021,3,March,Tram,8750223
2021-04-01,2021,4,April,Bus,7326494
2021-04-01,2021,4,April,Coach,75002
2021-04-01,2021,4,April,Train,12832522
2021-04-01,2021,4,April,Tram,9123455
2021-05-01,2021,5,May,Bus,7774350
2021-05-01,2021,5,May,Coach,66206
2021-05-01,2021,5,May,Train,12492966
2021-05-01,2021,5,May,Tram,8761433
2021-06-01,2021,6,June,Bus,5145715
2021-06-01,2021,6,June,Coach,46233
2021-06-01,2021,6,June,Train,6945569
2021-06-01,2021,6,June,Tram,4557256
2021-07-01,2021,7,July,Bus,5321619
2021-07-01,2021,7,July,Coach,45599
2021-07-01,2021,7,July,Train,8201380
2021-07-01,2021,7,July,Tram,5093722
2021-08-01,2021,8,August,Bus,3810070
2021-08-01,2021,8,August,Coach,33264
2021-08-01,2021,8,August,Train,4398689
2021-08-01,2021,8,August,Tram,2686330
2021-09-01,2021,9,September,Bus,2856876
2021-09-01,2021,9,September,Coach,23838
2021-09-01,2021,9,September,Train,3026657
2021-09-01,2021,9,September,Tram,1910362
2021-10-01,2021,10,October,Bus,4092585
2021-10-01,2021,10,October,Coach,33948
2021-10-01,2021,10,October,Train,4372085
2021-10-01,2021,10,October,Tram,3102681
2021-11-01,2021,11,November,Bus,7309601
2021-11-01,2021,11,November,Coach,55165
2021-11-01,2021,11,November,Train,9101059
2021-11-01,2021,11,November,Tram,7034365
2021-12-01,2021,12,December,Bus,6601729
2021-12-01,2021,12,December,Coach,67426
2021-12-01,2021,12,December,Train,10122021
2021-12-01,2021,12,December,Tram,8359146
2022-01-01,2022,1,January,Bus,4673930
2022-01-01,2022,1,January,Coach,51750
2022-01-01,2022,1,January,Train,6454842
2022-01-01,2022,1,January,Tram,5372999
2022-02-01,2022,2,February,Bus,7190776
2022-02-01,2022,2,February,Coach,57210
2022-02-01,2022,2,February,Train,9247028
2022-02-01,2022,2,February,Tram,7962117
2022-03-01,2022,3,March,Bus,9537897
2022-03-01,2022,3,March,Coach,73664
2022-03-01,2022,3,March,Train,14343878
2022-03-01,2022,3,March,Tram,11614262
2022-04-01,2022,4,April,Bus,7708935
2022-04-01,2022,4,April,Coach,73735
2022-04-01,2022,4,April,Train,13111151
2022-04-01,2022,4,April,Tram,10065400
2022-05-01,2022,5,May,Bus,8901118
2022-05-01,2022,5,May,Coach,71603
2022-05-01,2022,5,May,Train,14121527
2022-05-01,2022,5,May,Tram,10150913
2022-06-01,2022,6,June,Bus,7870215
2022-06-01,2022,6,June,Coach,70919
2022-06-01,2022,6,June,Train,13081759
2022-06-01,2022,6,June,Tram,9590565
2022-07-01,2022,7,July,Bus,8308439
2022-07-01,2022,7,July,Coach,75239
2022-07-01,2022,7,July,Train,13333706
2022-07-01,2022,7,July,Tram,11129287
